trial_nr	onset	event_type	phase	response	nr_frames	prob1	prob2	n1	n2	choice	onset_abs	duration
1.0	0.00244116666726768	stim	0		86						1.250880041741766	1.368378874962218
1.0	1.368169541703537	response	0	j							2.6166084167780355	
0.0	1.3708200416294858	stim	0		1						2.619258916703984	0.01109912502579391
0.0	1.3819191666552797	stim	1		1						2.630358041729778	0.020473374985158443
0.0	1.4023925416404381	stim	2		1						2.6508314167149365	0.014706874964758754
0.0	1.417099416605197	stim	3		1						2.6655382916796952	0.07019145844969898
0.0	1.4872908750548959	stim	0		312						2.7357297501293942	4.953446166589856
0.0	2.536824833252467	response	0	j							3.7852637083269656	
1.0	6.440737041644752	stim	0		15	0.55	1.0	5.0	28.0		7.68917591671925	0.2499023333657533
1.0	6.690639375010505	stim	1		18	0.55	1.0	5.0	28.0		7.939078250085004	0.30018162506166846
1.0	6.990821000072174	stim	2		18	0.55	1.0	5.0	28.0		8.239259875146672	0.3002812082413584
1.0	7.291102208313532	stim	3		30	0.55	1.0	5.0	28.0		8.53954108338803	0.4998284167377278
1.0	7.79093062505126	stim	4		36	0.55	1.0	5.0	28.0		9.039369500125758	0.5998267499962822
1.0	8.390757375047542	stim	5		490	0.55	1.0	5.0	28.0		9.63919625012204	8.008285333169624
1.0	16.399042708217166	stim	6		19	0.55	1.0	5.0	28.0		17.647481583291665	0.30052129179239273
1.0	16.69956400000956	stim	7		18	0.55	1.0	5.0	28.0		17.948002875084057	0.29929183330386877
1.0	16.998855833313428	stim	8		36	0.55	1.0	5.0	28.0		18.247294708387926	0.6001769999274984
1.0	17.599032833240926	stim	9		19	0.55	1.0	5.0	28.0		18.847471708315425	0.3209153334610164
1.0	17.916952374973334	response	9	j		0.55	1.0	5.0	28.0		19.165391250047833	
1.0	17.919948166701943	choice	9		304					1.0	19.16838704177644	4.670972666586749
2.0	22.590920833288692	stim	0		15	0.55	1.0	9.0	20.0		23.83935970836319	0.24994045833591372
2.0	22.840861291624606	stim	1		18	0.55	1.0	9.0	20.0		24.089300166699104	0.29987166670616716
2.0	23.140732958330773	stim	2		18	0.55	1.0	9.0	20.0		24.38917183340527	0.2992313333088532
2.0	23.439964291639626	stim	3		30	0.55	1.0	9.0	20.0		24.688403166714124	0.5007399165770039
2.0	23.94070420821663	stim	4		36	0.55	1.0	9.0	20.0		25.18914308329113	0.5999217918142676
2.0	24.540626000030898	stim	5		421	0.55	1.0	9.0	20.0		25.789064875105396	7.008312291582115
2.0	31.548938291613013	stim	6		18	0.55	1.0	9.0	20.0		32.79737716668751	0.29999154165852815
2.0	31.84892983327154	stim	7		18	0.55	1.0	9.0	20.0		33.09736870834604	0.29999429173767567
2.0	32.148924125009216	stim	8		36	0.55	1.0	9.0	20.0		33.397363000083715	0.6000406249659136
2.0	32.74896474997513	stim	9		141	0.55	1.0	9.0	20.0		33.99740362504963	2.336485583335161
2.0	35.08318470825907	response	9	k		0.55	1.0	9.0	20.0		36.33162358333357	
2.0	35.08545033331029	choice	9		282					2.0	36.33388920838479	2.3305611667456105
2.0	36.59960095828865	response	9	escape		0.55	1.0	9.0	20.0		37.848039833363146	
