trial_nr	array_nr	stim_nr	x	y
1.0	1	1	-2.549370307721529	3.340129822900506
1.0	1	2	2.9450752003874836	3.855831247929608
1.0	1	3	0.34505029779864127	-0.16550003275254133
1.0	1	4	-1.6583963126883143	-0.8776610345793723
1.0	1	5	-4.23253255155011	1.3417444226340325
1.0	2	1	2.9915031877386	-3.9411293778573726
1.0	2	2	2.1614002595547674	-3.5375831699659175
1.0	2	3	1.3599724303247898	2.760664529044571
1.0	2	4	-2.217885192633063	-4.189752893121171
1.0	2	5	-1.4311450246613	0.10225879007334457
1.0	2	6	-0.7598236498535009	4.832099833449797
1.0	2	7	2.6572769452203686	2.951255810731755
1.0	2	8	0.054107238797562913	0.21447862754654456
1.0	2	9	-2.484285742154369	-0.8609620119709027
1.0	2	10	-1.736066388509796	-0.8734934717846785
1.0	2	11	-2.3390990236886147	1.416361395212446
1.0	2	12	0.8554795374350466	0.11245986107739761
1.0	2	13	-0.5923482911932422	0.4110707547423372
1.0	2	14	-0.8473561764774976	1.1163161822709962
1.0	2	15	3.198047315136719	-3.3237350433745068
1.0	2	16	-0.03492100729967437	1.286981666118905
1.0	2	17	0.08968575419158895	-0.6963513034229301
1.0	2	18	-1.7389673528656153	2.306238914616943
1.0	2	19	-2.4012189714301035	3.442151722640013
1.0	2	20	-0.879239331768237	-1.1776671629269018
1.0	2	21	-1.1585469185482178	-0.6456320184991591
1.0	2	22	-0.32734064321253686	2.4109021068309118
1.0	2	23	1.5869271276770862	0.4537027833283252
1.0	2	24	2.8085724466541993	-1.3511251922370893
1.0	2	25	-2.738366982794575	-1.9619416549903308
1.0	2	26	-4.351295983721687	-1.7998527224553271
1.0	2	27	-0.6509965274196724	-2.6303827685891767
1.0	2	28	4.478555841981799	0.9929288600556183
2.0	1	1	-2.578521212316291	-1.9527547924208533
2.0	1	2	-1.2831659401743694	-0.797352230898528
2.0	1	3	0.16274959669653297	-0.14931203987113445
2.0	1	4	0.23763543651054278	-4.271253335377665
2.0	1	5	2.2104357679519153	-2.549628531295886
2.0	1	6	-2.890972930544028	-0.5904444584066968
2.0	1	7	2.281923312470587	4.361347742418073
2.0	1	8	0.11241030198984815	-1.3924552755181405
2.0	1	9	1.6475722871551097	-2.0937797849190987
2.0	2	1	-0.3599559499776989	3.203472645661767
2.0	2	2	-4.352118436616505	0.8708063124870349
2.0	2	3	-0.8954295746988612	-1.1535186856475388
2.0	2	4	4.15169969402045	-0.6776900386996096
2.0	2	5	-1.3849470639915615	-1.867484247173785
2.0	2	6	4.384430076877689	2.0528525226560475
2.0	2	7	-1.5316492177717924	0.952677884160642
2.0	2	8	0.1744553447734454	-1.2690298130261588
2.0	2	9	3.1694123391419424	-0.37235206359764605
2.0	2	10	-3.3088320743038477	3.105216906974551
2.0	2	11	-2.882574679559752	-1.1483092910183728
2.0	2	12	0.6872547702454374	-0.5736159357472062
2.0	2	13	0.08218675486201057	0.2317213385086086
2.0	2	14	4.177363208628765	1.1827197806819818
2.0	2	15	-2.8266499436613577	-3.7324999839340642
2.0	2	16	-0.19130983110148816	-4.70844558846633
2.0	2	17	1.928058654562472	1.3384159458950504
2.0	2	18	3.674593404847796	3.217466463444821
2.0	2	19	-1.9198851283041014	2.180197265695331
2.0	2	20	2.7796515649482316	-3.0396807121403198
3.0	1	1	-0.11850370200929469	-0.1566231277968776
3.0	1	2	-0.9361745691901606	-0.3711610428886745
3.0	1	3	-1.4566533258614465	3.0215777172257847
3.0	1	4	-2.299986541837103	1.7802456267104212
3.0	1	5	1.0739244095572653	0.23891102323182054
3.0	1	6	-0.4979239208187119	1.7652283133021265
3.0	1	7	-0.241356928204028	-0.9801387317226063
3.0	1	8	-2.3428426771826807	-3.070841588120124
3.0	1	9	-0.971285725551385	0.7330498217737168
3.0	2	1	0.8724650590881414	-4.364412443626826
3.0	2	2	3.731048367242364	-2.0863505717531674
3.0	2	3	-0.27226803547731915	0.3854620127796089
3.0	2	4	-3.4366498033680215	3.181794698458888
3.0	2	5	-1.3233087362671998	2.1560186018825274
3.0	2	6	-0.026602915263133856	3.691809728046066
3.0	2	7	0.48677273447734987	1.0424441747029785
3.0	2	8	-0.16778193710392542	-1.7592979160697628
3.0	2	9	-2.014959533216664	0.006575635612452431
3.0	2	10	0.8159984518367709	3.945416388752078
3.0	2	11	-3.0849578429647684	-3.13851178893014
3.0	2	12	1.7027397022837678	-0.3736482197400654
3.0	2	13	3.1434833656068695	2.957616852649172
3.0	2	14	-3.909639995309656	-1.0725628207937123
3.0	2	15	1.480310748894279	-1.4987453751221669
3.0	2	16	-2.833276052997107	2.0978574628421955
3.0	2	17	1.824684987676422	2.362205242411373
3.0	2	18	3.3907113120807812	-0.12188442294463563
3.0	2	19	1.9503067645661165	-0.9331003192151032
3.0	2	20	-3.101773678735095	1.1268122931459874
3.0	2	21	-4.437576883309862	-0.08199738364759968
3.0	2	22	1.2142295132868142	1.187621161625836
3.0	2	23	2.9508933607826275	-0.582239915006718
3.0	2	24	0.199881973858956	1.822347357769992
3.0	2	25	2.810119093262455	0.11174234419837123
3.0	2	26	-0.09162594695211679	-0.36760758635781815
3.0	2	27	3.001120844668143	-1.8092901697363242
3.0	2	28	-1.4683266850723184	-2.8699497981249165
4.0	1	1	0.830990673943772	1.011154870494219
4.0	1	2	-2.570432584095875	-1.6879373228220655
4.0	2	1	0.12829071796941025	0.28424072528340527
4.0	2	2	0.987670469898459	-0.6772980446476327
4.0	2	3	0.39281575192908863	1.2420582144060353
4.0	2	4	0.789812196117983	2.0945216218169187
4.0	2	5	1.79672346587743	1.2209271695543569
4.0	2	6	-2.9024153527726417	-2.1862930912619856
4.0	2	7	1.5236379862636777	3.6061614267961013
