run	p1	base number	fraction	repetition	p2	n1	n2	trial
1	0.55	10	1.4142135623730951	1	1.0	14	10	1
1	0.55	28	1.4142135623730951	1	1.0	39	28	2
1	0.55	14	2.8284271247461903	1	1.0	39	14	3
1	0.55	28	2.8284271247461903	1	1.0	79	28	4
1	0.55	10	2.8284271247461903	1	1.0	28	10	5
1	0.55	14	4.0	1	1.0	56	14	6
1	0.55	10	3.363585661014858	1	1.0	33	10	7
1	0.55	10	1.681792830507429	1	1.0	16	10	8
1	0.55	14	2.0	1	1.0	28	14	9
1	0.55	7	4.0	1	1.0	28	7	10
1	1.0	28	4.0	1	0.55	28	112	11
1	1.0	10	1.189207115002721	1	0.55	10	11	12
1	1.0	14	3.363585661014858	1	0.55	14	47	13
1	1.0	14	1.681792830507429	1	0.55	14	23	14
1	1.0	28	1.681792830507429	1	0.55	28	47	15
1	1.0	10	1.681792830507429	1	0.55	10	16	16
1	1.0	14	4.0	1	0.55	14	56	17
1	1.0	28	2.378414230005442	1	0.55	28	66	18
1	1.0	10	2.8284271247461903	1	0.55	10	28	19
1	1.0	14	1.4142135623730951	1	0.55	14	19	20
2	1.0	7	2.378414230005442	1	0.55	7	16	21
2	1.0	28	2.8284271247461903	1	0.55	28	79	22
2	1.0	20	2.0	1	0.55	20	40	23
2	1.0	10	2.378414230005442	1	0.55	10	23	24
2	1.0	7	2.0	1	0.55	7	14	25
2	1.0	7	1.681792830507429	1	0.55	7	11	26
2	1.0	7	1.4142135623730951	1	0.55	7	9	27
2	1.0	20	4.0	1	0.55	20	80	28
2	1.0	7	2.8284271247461903	1	0.55	7	19	29
2	1.0	7	4.0	1	0.55	7	28	30
2	0.55	10	2.0	1	1.0	20	10	31
2	0.55	28	2.0	1	1.0	56	28	32
2	0.55	28	4.0	1	1.0	112	28	33
2	0.55	20	4.0	1	1.0	80	20	34
2	0.55	7	3.363585661014858	1	1.0	23	7	35
2	0.55	7	1.4142135623730951	1	1.0	9	7	36
2	0.55	7	2.8284271247461903	1	1.0	19	7	37
2	0.55	14	1.189207115002721	1	1.0	16	14	38
2	0.55	28	2.378414230005442	1	1.0	66	28	39
2	0.55	20	1.189207115002721	1	1.0	23	20	40
3	0.55	7	1.681792830507429	1	1.0	11	7	41
3	0.55	10	4.0	1	1.0	40	10	42
3	0.55	28	1.189207115002721	1	1.0	33	28	43
3	0.55	20	3.363585661014858	1	1.0	67	20	44
3	0.55	20	1.681792830507429	1	1.0	33	20	45
3	0.55	10	1.189207115002721	1	1.0	11	10	46
3	0.55	10	2.378414230005442	1	1.0	23	10	47
3	0.55	7	2.0	1	1.0	14	7	48
3	0.55	28	1.681792830507429	1	1.0	47	28	49
3	0.55	20	2.0	1	1.0	40	20	50
3	1.0	20	2.378414230005442	1	0.55	20	47	51
3	1.0	7	3.363585661014858	1	0.55	7	23	52
3	1.0	20	1.4142135623730951	1	0.55	20	28	53
3	1.0	20	1.189207115002721	1	0.55	20	23	54
3	1.0	28	3.363585661014858	1	0.55	28	94	55
3	1.0	14	2.0	1	0.55	14	28	56
3	1.0	28	1.189207115002721	1	0.55	28	33	57
3	1.0	14	1.189207115002721	1	0.55	14	16	58
3	1.0	14	2.8284271247461903	1	0.55	14	39	59
3	1.0	20	2.8284271247461903	1	0.55	20	56	60
4	0.55	20	2.378414230005442	1	1.0	47	20	61
4	0.55	20	2.8284271247461903	1	1.0	56	20	62
4	0.55	20	1.4142135623730951	1	1.0	28	20	63
4	0.55	14	1.681792830507429	1	1.0	23	14	64
4	0.55	14	2.378414230005442	1	1.0	33	14	65
4	0.55	7	1.189207115002721	1	1.0	8	7	66
4	0.55	28	3.363585661014858	1	1.0	94	28	67
4	0.55	7	2.378414230005442	1	1.0	16	7	68
4	0.55	14	1.4142135623730951	1	1.0	19	14	69
4	0.55	14	3.363585661014858	1	1.0	47	14	70
4	1.0	14	2.378414230005442	1	0.55	14	33	71
4	1.0	20	1.681792830507429	1	0.55	20	33	72
4	1.0	10	3.363585661014858	1	0.55	10	33	73
4	1.0	10	1.4142135623730951	1	0.55	10	14	74
4	1.0	28	2.0	1	0.55	28	56	75
4	1.0	10	2.0	1	0.55	10	20	76
4	1.0	28	1.4142135623730951	1	0.55	28	39	77
4	1.0	20	3.363585661014858	1	0.55	20	67	78
4	1.0	10	4.0	1	0.55	10	40	79
4	1.0	7	1.189207115002721	1	0.55	7	8	80
