run	p1	base number	fraction	repetition	p2	n1	n2	trial
1	1.0	10	0.2639015821545789	2	0.55	10	2	1
1	1.0	7	0.459479341998814	1	0.55	7	3	2
1	1.0	14	0.34822022531844965	2	0.55	14	4	3
1	1.0	10	0.8	2	0.55	10	8	4
1	1.0	20	0.6062866266041592	2	0.55	20	12	5
1	1.0	10	0.34822022531844965	2	0.55	10	3	6
1	1.0	20	0.459479341998814	1	0.55	20	9	7
1	1.0	7	0.8	1	0.55	7	5	8
1	1.0	10	0.6062866266041592	2	0.55	10	6	9
1	1.0	7	0.459479341998814	2	0.55	7	3	10
1	0.55	10	0.2639015821545789	1	1.0	2	10	11
1	0.55	28	0.459479341998814	1	1.0	12	28	12
1	0.55	7	0.2639015821545789	1	1.0	1	7	13
1	0.55	14	0.6062866266041592	2	1.0	8	14	14
1	0.55	7	0.34822022531844965	2	1.0	2	7	15
1	0.55	7	0.6062866266041592	1	1.0	4	7	16
1	0.55	20	0.6062866266041592	2	1.0	12	20	17
1	0.55	14	0.34822022531844965	2	1.0	4	14	18
1	0.55	10	0.459479341998814	2	1.0	4	10	19
1	0.55	28	0.6062866266041592	2	1.0	16	28	20
2	1.0	10	0.459479341998814	1	0.55	10	4	21
2	1.0	20	0.34822022531844965	1	0.55	20	6	22
2	1.0	28	0.2	1	0.55	28	5	23
2	1.0	28	0.8	2	0.55	28	22	24
2	1.0	20	0.8	2	0.55	20	16	25
2	1.0	7	0.34822022531844965	1	0.55	7	2	26
2	1.0	14	0.6062866266041592	2	0.55	14	8	27
2	1.0	7	0.2639015821545789	1	0.55	7	1	28
2	1.0	20	0.34822022531844965	2	0.55	20	6	29
2	1.0	28	0.34822022531844965	2	0.55	28	9	30
2	0.55	14	0.8	2	1.0	11	14	31
2	0.55	20	0.459479341998814	1	1.0	9	20	32
2	0.55	14	0.2	1	1.0	2	14	33
2	0.55	10	0.6062866266041592	1	1.0	6	10	34
2	0.55	28	0.34822022531844965	2	1.0	9	28	35
2	0.55	20	0.2	1	1.0	4	20	36
2	0.55	20	0.2639015821545789	1	1.0	5	20	37
2	0.55	20	0.8	1	1.0	16	20	38
2	0.55	28	0.8	2	1.0	22	28	39
2	0.55	20	0.459479341998814	2	1.0	9	20	40
3	0.55	20	0.8	2	1.0	16	20	41
3	0.55	7	0.8	1	1.0	5	7	42
3	0.55	7	0.459479341998814	2	1.0	3	7	43
3	0.55	14	0.34822022531844965	1	1.0	4	14	44
3	0.55	28	0.2639015821545789	2	1.0	7	28	45
3	0.55	7	0.8	2	1.0	5	7	46
3	0.55	20	0.34822022531844965	2	1.0	6	20	47
3	0.55	14	0.2639015821545789	1	1.0	3	14	48
3	0.55	28	0.6062866266041592	1	1.0	16	28	49
3	0.55	10	0.2	2	1.0	2	10	50
