run	p1	base number	fraction	repetition	p2	n1	n2	trial
1	1.0	14	2.5076726652336894	2	0.55	14	35	1
1	1.0	7	1.7360511130379037	2	0.55	7	12	2
1	1.0	14	2.086491773675054	1	0.55	14	29	3
1	1.0	10	1.4444693744330663	1	0.55	10	14	4
1	1.0	7	1.2018607966120978	1	0.55	7	8	5
1	1.0	28	1.7360511130379037	2	0.55	28	48	6
1	1.0	20	1.2018607966120978	1	0.55	20	24	7
1	1.0	7	2.086491773675054	1	0.55	7	14	8
1	1.0	20	1.7360511130379037	1	0.55	20	34	9
1	1.0	14	1.0	1	0.55	14	14	10
1	0.55	20	2.5076726652336894	2	1.0	50	20	11
1	0.55	20	2.086491773675054	2	1.0	41	20	12
1	0.55	28	1.7360511130379037	1	1.0	48	28	13
1	0.55	7	2.086491773675054	2	1.0	14	7	14
1	0.55	10	1.4444693744330663	1	1.0	14	10	15
1	0.55	10	2.5076726652336894	1	1.0	25	10	16
1	0.55	10	1.0	1	1.0	10	10	17
1	0.55	28	2.086491773675054	2	1.0	58	28	18
1	0.55	20	2.086491773675054	1	1.0	41	20	19
1	0.55	14	1.2018607966120978	1	1.0	16	14	20
2	1.0	14	1.4444693744330663	2	0.55	14	20	21
2	1.0	28	1.7360511130379037	1	0.55	28	48	22
2	1.0	14	2.5076726652336894	1	0.55	14	35	23
2	1.0	14	1.2018607966120978	1	0.55	14	16	24
2	1.0	20	1.4444693744330663	1	0.55	20	28	25
2	1.0	28	1.4444693744330663	2	0.55	28	40	26
2	1.0	10	2.086491773675054	1	0.55	10	20	27
2	1.0	14	2.086491773675054	2	0.55	14	29	28
2	1.0	20	1.0	1	0.55	20	20	29
2	1.0	7	1.4444693744330663	2	0.55	7	10	30
2	0.55	10	2.086491773675054	2	1.0	20	10	31
2	0.55	28	1.2018607966120978	2	1.0	33	28	32
2	0.55	14	1.4444693744330663	1	1.0	20	14	33
2	0.55	28	1.0	2	1.0	28	28	34
2	0.55	28	2.086491773675054	1	1.0	58	28	35
2	0.55	20	1.2018607966120978	1	1.0	24	20	36
2	0.55	14	2.086491773675054	2	1.0	29	14	37
2	0.55	14	1.2018607966120978	2	1.0	16	14	38
2	0.55	7	1.0	1	1.0	7	7	39
2	0.55	10	2.086491773675054	1	1.0	20	10	40
3	0.55	20	1.4444693744330663	2	1.0	28	20	41
3	0.55	20	1.7360511130379037	1	1.0	34	20	42
3	0.55	7	1.2018607966120978	2	1.0	8	7	43
3	0.55	14	2.086491773675054	1	1.0	29	14	44
3	0.55	20	1.2018607966120978	2	1.0	24	20	45
3	0.55	7	1.0	2	1.0	7	7	46
3	0.55	10	1.2018607966120978	2	1.0	12	10	47
3	0.55	20	1.0	2	1.0	20	20	48
3	0.55	14	1.0	1	1.0	14	14	49
3	0.55	28	1.4444693744330663	1	1.0	40	28	50
3	1.0	28	1.2018607966120978	2	0.55	28	33	51
3	1.0	20	1.0	2	0.55	20	20	52
3	1.0	10	1.0	1	0.55	10	10	53
3	1.0	28	2.086491773675054	2	0.55	28	58	54
3	1.0	10	1.2018607966120978	2	0.55	10	12	55
3	1.0	14	1.7360511130379037	2	0.55	14	24	56
3	1.0	28	2.5076726652336894	1	0.55	28	70	57
3	1.0	7	2.086491773675054	2	0.55	7	14	58
3	1.0	28	1.4444693744330663	1	0.55	28	40	59
3	1.0	7	2.5076726652336894	2	0.55	7	17	60
4	1.0	10	2.5076726652336894	2	0.55	10	25	61
4	1.0	7	1.0	1	0.55	7	7	62
4	1.0	28	1.0	2	0.55	28	28	63
4	1.0	7	1.7360511130379037	1	0.55	7	12	64
4	1.0	14	1.4444693744330663	1	0.55	14	20	65
4	1.0	14	1.7360511130379037	1	0.55	14	24	66
4	1.0	20	2.5076726652336894	1	0.55	20	50	67
4	1.0	20	1.2018607966120978	2	0.55	20	24	68
4	1.0	10	1.7360511130379037	1	0.55	10	17	69
4	1.0	20	2.086491773675054	2	0.55	20	41	70
4	0.55	14	2.5076726652336894	1	1.0	35	14	71
4	0.55	7	2.086491773675054	1	1.0	14	7	72
4	0.55	14	1.4444693744330663	2	1.0	20	14	73
4	0.55	28	1.4444693744330663	2	1.0	40	28	74
4	0.55	10	1.4444693744330663	2	1.0	14	10	75
4	0.55	28	2.5076726652336894	1	1.0	70	28	76
4	0.55	20	1.4444693744330663	1	1.0	28	20	77
4	0.55	28	1.0	1	1.0	28	28	78
4	0.55	10	1.7360511130379037	2	1.0	17	10	79
4	0.55	14	1.7360511130379037	1	1.0	24	14	80
5	0.55	20	1.7360511130379037	2	1.0	34	20	81
5	0.55	28	1.2018607966120978	1	1.0	33	28	82
5	0.55	7	1.4444693744330663	1	1.0	10	7	83
5	0.55	7	1.2018607966120978	1	1.0	8	7	84
5	0.55	10	2.5076726652336894	2	1.0	25	10	85
5	0.55	10	1.7360511130379037	1	1.0	17	10	86
5	0.55	7	2.5076726652336894	1	1.0	17	7	87
5	0.55	10	1.0	2	1.0	10	10	88
5	0.55	20	1.0	1	1.0	20	20	89
5	0.55	7	1.7360511130379037	2	1.0	12	7	90
5	1.0	7	1.2018607966120978	2	0.55	7	8	91
5	1.0	28	2.5076726652336894	2	0.55	28	70	92
5	1.0	20	1.4444693744330663	2	0.55	20	28	93
5	1.0	10	2.5076726652336894	1	0.55	10	25	94
5	1.0	28	1.2018607966120978	1	0.55	28	33	95
5	1.0	10	1.4444693744330663	2	0.55	10	14	96
5	1.0	10	1.7360511130379037	2	0.55	10	17	97
5	1.0	28	1.0	1	0.55	28	28	98
5	1.0	20	1.7360511130379037	2	0.55	20	34	99
5	1.0	20	2.086491773675054	1	0.55	20	41	100
