	base number	fraction	repetition	p1	p2	n1	n2	trial
109	28	0.10000000000000002	2	0.55	1.0	2	28	1
89	14	0.24082246852806924	2	0.55	1.0	3	14	2
98	20	0.15518455739153597	1	0.55	1.0	3	20	3
91	14	0.3737192818846553	2	0.55	1.0	5	14	4
115	28	0.3737192818846553	2	0.55	1.0	10	28	5
116	28	0.5799546134795289	1	0.55	1.0	16	28	6
72	10	0.10000000000000002	1	0.55	1.0	1	10	7
100	20	0.24082246852806924	1	0.55	1.0	4	20	8
77	10	0.24082246852806924	2	0.55	1.0	2	10	9
111	28	0.15518455739153597	2	0.55	1.0	4	28	10
80	10	0.5799546134795289	1	0.55	1.0	5	10	11
76	10	0.24082246852806924	1	0.55	1.0	2	10	12
63	7	0.15518455739153597	2	0.55	1.0	1	7	13
117	28	0.5799546134795289	2	0.55	1.0	16	28	14
86	14	0.15518455739153597	1	0.55	1.0	2	14	15
114	28	0.3737192818846553	1	0.55	1.0	10	28	16
99	20	0.15518455739153597	2	0.55	1.0	3	20	17
107	20	0.9	2	0.55	1.0	18	20	18
105	20	0.5799546134795289	2	0.55	1.0	11	20	19
71	7	0.9	2	0.55	1.0	6	7	20
68	7	0.5799546134795289	1	0.55	1.0	4	7	21
97	20	0.10000000000000002	2	0.55	1.0	2	20	22
104	20	0.5799546134795289	1	0.55	1.0	11	20	23
81	10	0.5799546134795289	2	0.55	1.0	5	10	24
90	14	0.3737192818846553	1	0.55	1.0	5	14	25
103	20	0.3737192818846553	2	0.55	1.0	7	20	26
96	20	0.10000000000000002	1	0.55	1.0	2	20	27
69	7	0.5799546134795289	2	0.55	1.0	4	7	28
74	10	0.15518455739153597	1	0.55	1.0	1	10	29
87	14	0.15518455739153597	2	0.55	1.0	2	14	30
108	28	0.10000000000000002	1	0.55	1.0	2	28	31
60	7	0.10000000000000002	1	0.55	1.0	0	7	32
93	14	0.5799546134795289	2	0.55	1.0	8	14	33
106	20	0.9	1	0.55	1.0	18	20	34
110	28	0.15518455739153597	1	0.55	1.0	4	28	35
85	14	0.10000000000000002	2	0.55	1.0	1	14	36
61	7	0.10000000000000002	2	0.55	1.0	0	7	37
62	7	0.15518455739153597	1	0.55	1.0	1	7	38
95	14	0.9	2	0.55	1.0	12	14	39
66	7	0.3737192818846553	1	0.55	1.0	2	7	40
65	7	0.24082246852806924	2	0.55	1.0	1	7	41
64	7	0.24082246852806924	1	0.55	1.0	1	7	42
118	28	0.9	1	0.55	1.0	25	28	43
73	10	0.10000000000000002	2	0.55	1.0	1	10	44
83	10	0.9	2	0.55	1.0	9	10	45
88	14	0.24082246852806924	1	0.55	1.0	3	14	46
113	28	0.24082246852806924	2	0.55	1.0	6	28	47
94	14	0.9	1	0.55	1.0	12	14	48
79	10	0.3737192818846553	2	0.55	1.0	3	10	49
67	7	0.3737192818846553	2	0.55	1.0	2	7	50
78	10	0.3737192818846553	1	0.55	1.0	3	10	51
101	20	0.24082246852806924	2	0.55	1.0	4	20	52
92	14	0.5799546134795289	1	0.55	1.0	8	14	53
70	7	0.9	1	0.55	1.0	6	7	54
82	10	0.9	1	0.55	1.0	9	10	55
84	14	0.10000000000000002	1	0.55	1.0	1	14	56
102	20	0.3737192818846553	1	0.55	1.0	7	20	57
75	10	0.15518455739153597	2	0.55	1.0	1	10	58
112	28	0.24082246852806924	1	0.55	1.0	6	28	59
119	28	0.9	2	0.55	1.0	25	28	60
24	14	0.10000000000000002	1	1.0	0.55	14	1	61
17	10	0.24082246852806924	2	1.0	0.55	10	2	62
16	10	0.24082246852806924	1	1.0	0.55	10	2	63
50	28	0.15518455739153597	1	1.0	0.55	28	4	64
35	14	0.9	2	1.0	0.55	14	12	65
23	10	0.9	2	1.0	0.55	10	9	66
45	20	0.5799546134795289	2	1.0	0.55	20	11	67
44	20	0.5799546134795289	1	1.0	0.55	20	11	68
15	10	0.15518455739153597	2	1.0	0.55	10	1	69
56	28	0.5799546134795289	1	1.0	0.55	28	16	70
40	20	0.24082246852806924	1	1.0	0.55	20	4	71
38	20	0.15518455739153597	1	1.0	0.55	20	3	72
