Subject,Procedure[Trial],Start.OnsetTime,Images.OnsetTime,Condition.paramod,Images.ACC,Images.RT
2,2,18391,27739,0,1,538
2,2,18391,30512,0,1,493
2,2,18391,33152,0,1,376
2,2,18391,35858,0,1,387
2,2,18391,39577,0,0,352
2,2,18391,42931,0,1,353
2,2,18391,47016,0,1,332
2,2,18391,50286,0,1,463
2,2,18391,53790,0,0,288
2,2,18391,56114,0,1,382
2,1,18391,75557,2,1,1272
2,1,18391,79674,1,1,869
2,1,18391,82879,3,1,818
2,1,18391,86133,3,1,725
2,1,18391,90101,1,1,962
2,1,18391,93904,3,1,1164
2,1,18391,98005,1,1,869
2,1,18391,100811,2,1,1042
2,1,18391,105094,1,0,978
2,2,18391,124869,0,1,1461
2,2,18391,129003,0,1,699
2,2,18391,131975,0,1,966
2,2,18391,135213,0,0,815
2,2,18391,138202,0,1,886
2,2,18391,141771,0,0,764
2,2,18391,145441,0,1,664
2,2,18391,147998,0,0,857
2,2,18391,151268,0,1,645
2,2,18391,154191,0,1,886
2,1,18391,173833,3,1,640
2,1,18391,176705,3,0,740
2,1,18391,180092,2,1,876
2,1,18391,184409,2,1,718
2,1,18391,188659,3,1,549
2,1,18391,192445,2,0,447
2,1,18391,195832,2,1,649
2,1,18391,199618,1,0,765
2,1,18391,202009,1,0,752
2,2,18391,222364,0,1,672
2,2,18391,226399,0,1,595
2,2,18391,229853,0,1,402
2,2,18391,232426,0,1,606
2,2,18391,235813,0,1,1230
2,2,18391,239117,0,1,925
2,2,18391,243999,0,1,607
2,2,18391,247967,0,1,690
2,2,18391,251321,0,1,625
2,1,18391,271095,2,1,785
2,1,18391,273603,2,1,925
2,1,18391,277405,1,0,1098
2,1,18391,281539,1,1,1616
2,1,18391,286686,2,1,1416
2,1,18391,290538,1,1,1870
2,1,18391,294955,1,1,1375
2,1,18391,299471,3,1,1376
2,2,18391,320076,0,1,546
2,2,18391,323031,0,1,370
2,2,18391,326783,0,1,361
2,2,18391,330154,0,1,464
2,2,18391,332993,0,1,682
2,2,18391,335567,0,1,669
2,2,18391,338721,0,1,534
2,2,18391,342325,0,1,375
2,2,18391,345180,0,1,620
2,2,18391,349281,0,1,584
2,1,18391,368325,1,0,1791
2,1,18391,372958,1,0,2165
2,1,18391,377258,3,1,1477
2,1,18391,381376,3,1,1550
2,1,18391,384895,1,0,0
2,1,18391,389926,3,1,939
2,1,18391,392898,3,1,864
2,1,18391,396003,2,1,812
9,2,46066,55397,0,1,1446
9,2,46066,59083,0,1,407
9,2,46066,61640,0,1,637
9,2,46066,64612,0,1,470
9,2,46066,68414,0,1,856
9,2,46066,72216,0,1,588
9,2,46066,76533,0,1,728
9,2,46066,80202,0,1,780
9,2,46066,84021,0,1,632
9,1,46066,103215,2,1,2152
9,1,46066,108212,1,1,2031
9,1,46066,112579,3,1,1484
9,1,46066,116497,3,1,1292
9,1,46066,121030,1,0,1990
9,1,46066,125862,3,1,1843
9,1,46066,130644,1,1,1859
9,2,46066,150966,0,1,403
9,2,46066,154005,0,1,459
9,2,46066,156694,0,1,672
9,2,46066,159600,0,1,516
9,2,46066,162256,0,1,617
9,2,46066,165511,0,1,644
9,2,46066,168997,0,1,540
9,2,46066,171388,0,1,728
9,2,46066,174460,0,1,553
9,2,46066,177249,0,1,471
9,2,46066,179956,0,1,568
9,1,46066,199481,3,1,1106
9,1,46066,202819,3,1,1199
9,1,46066,206654,2,1,1488
9,1,46066,211585,2,1,2275
9,1,46066,217396,3,1,1268
9,1,46066,221896,2,0,1088
9,1,46066,225914,2,1,1250
9,2,46066,246818,0,1,403
9,2,46066,250554,0,1,391
9,2,46066,253775,0,1,421
9,2,46066,256332,0,1,456
9,2,46066,259519,0,1,386
9,2,46066,261944,0,1,467
9,2,46066,266343,0,1,560
9,2,46066,270245,0,1,565
9,2,46066,273450,0,1,436
9,2,46066,276521,0,1,514
9,1,46066,296695,2,1,533
9,1,46066,298969,2,1,1653
9,1,46066,303469,1,1,1403
9,1,46066,307918,1,1,1145
9,1,46066,312601,2,1,1226
9,1,46066,316270,1,1,1917
9,1,46066,320720,1,1,1478
9,1,46066,325335,3,1,1349
9,2,46066,345841,0,1,439
9,2,46066,348613,0,1,696
9,2,46066,352648,0,1,512
9,2,46066,356102,0,1,862
9,2,46066,359306,0,1,531
9,2,46066,361680,0,1,1187
9,2,46066,365300,0,1,488
9,2,46066,368820,0,1,747
9,2,46066,372008,0,1,468
9,1,46066,392430,1,0,2362
9,1,46066,397627,1,1,1247
9,1,46066,401014,3,1,935
9,1,46066,404584,3,1,1066
9,1,46066,407589,1,1,1266
9,1,46066,411391,3,0,701
9,1,46066,414131,3,0,1037
9,1,46066,417468,2,0,1152
9,1,46066,421353,2,0,538
23,2,48619,57950,0,1,537
23,2,48619,60739,0,1,463
23,2,48619,63346,0,1,468
23,2,48619,66152,0,1,419
23,2,48619,69904,0,1,480
23,2,48619,73408,0,1,397
23,2,48619,77542,0,1,339
23,2,48619,80813,0,1,400
23,2,48619,84250,0,1,547
23,2,48619,86840,0,1,499
23,1,48619,106399,2,0,1127
23,1,48619,110367,1,0,1437
23,1,48619,114136,3,1,993
23,1,48619,117573,3,0,1535
